"YEAR","PUNISH_HANGYE","POWER_ID","POWER_COUNT","POWER_CODE","POWER_NAME","RANK_COUNT","COUNTIN"
2016.0,"规自","76af49a4-19a0-4e89-8dd1-0fb9a51208d7",7.0,"11440300MB2C94128A020346","对未经批准或者不按批准的范围、方式开采海砂的处罚",1.0,1.0
2016.0,"规自","43289b46-be14-4a73-bf31-a3835cf3dadf",3.0,"11440300MB2C94128A020347","对未取得海洋倾倒许可证，向海洋倾倒废弃物的处罚",2.0,1.0
2016.0,"规自","0da9ae4b-f8fe-4c01-8e84-bec2b4c53db1",2.0,"11440300MB2C94128A020183","对不按照许可证的规定倾倒，或者向已经封闭的倾倒区倾倒废弃物的处罚",3.0,1.0
2017.0,"财政","b8f05563-b2f0-458d-81fd-b160436828b7",15.0,"1144030700755150X8020005","对供应商在政府采购活动中违法行为的处罚",1.0,1.0
2017.0,"财政","4aa4f2a4-4ff1-46e3-9e63-a04d26fdcfe6",5.0,"11440300007541539G020054","对供应商在政府采购活动中违法行为的处罚",2.0,1.0
2017.0,"财政","54a77d8b-b833-4c53-81b0-4e432cdbb365",1.0,"11440300007541539G020023","对供虚假材料申请设立会计师事务所；会计师事务所提供虚假材料申请设立分所的处罚",3.0,1.0
2017.0,"财政","dcd00f05-6a17-48e8-b31f-1a84ec555fdd",1.0,"11440304007542822U020021","对供应商在政府采购活动中违法行为的处罚",3.0,1.0
2017.0,"规自","76af49a4-19a0-4e89-8dd1-0fb9a51208d7",13.0,"11440300MB2C94128A020346","对未经批准或者不按批准的范围、方式开采海砂的处罚",1.0,1.0
2017.0,"规自","b5dd4c25-6ea8-4b72-a79c-396d1acb588d",2.0,"11440300MB2C94128A020331","对擅自改变海域用途的处罚",2.0,1.0
2017.0,"规自","43289b46-be14-4a73-bf31-a3835cf3dadf",2.0,"11440300MB2C94128A020347","对未取得海洋倾倒许可证，向海洋倾倒废弃物的处罚",2.0,1.0
2017.0,"规自","db0ec3e5-5ae1-45c5-93e1-350d19efc0a0",2.0,"11440300MB2C94128A020337","对海域使用权期满，未办理有关手续仍继续使用海域的处罚",2.0,1.0
2017.0,"规自","737baa9f-2e96-42aa-a91a-b6739fa72c28",2.0,"11440300MB2C94128A020317","对未经批准或者骗取批准，非法占用海域的处罚",2.0,1.0
2017.0,"规自","8c30c7bb-9251-4c0e-8b64-4446996c744d",1.0,"11440304MB2D11725U020050","对未按照工程规划许可证的规定进行建设的行政处罚；对未取得工程规划许可证的行政处罚",6.0,1.0
2017.0,"规自","0da9ae4b-f8fe-4c01-8e84-bec2b4c53db1",1.0,"11440300MB2C94128A020183","对不按照许可证的规定倾倒，或者向已经封闭的倾倒区倾倒废弃物的处罚",6.0,1.0
2017.0,"规自","caa5642f-e732-4489-bd35-b8ab8779adde",1.0,"114403065670645156020031","对未取得建设工程规划许可证；未按建设工程规划许可证的规定进行建设的行政处罚",6.0,1.0
2017.0,"民政","6eb21197-664e-42ec-8192-ce916a0df814",1.0,"11440300007542195T020006","不依法办理变更登记的；未经登记设立分支机构、代表机构的；拒不接受或者不按照规定接受监督检查的；违反《广东省行业协会条例》其他行为的",1.0,1.0
2017.0,"民政","13ed88db-c3bd-4c73-aa68-1d4f0afef6f8",1.0,"11440300007542195T020011","未按照章程规定的宗旨和业务范围进行活动的；对分支机构、代表机构疏于管理，造成严重后果的；提供虚假或者隐瞒重要事实的财务预算、决算报告的；违法或者违反章程规定收取会费、取得其他收入或者使用资助、捐赠的；有《广东省行业协会条例》第二十八条规定情形的",1.0,1.0
2017.0,"人社","18706d09-ec2e-4775-8692-0edb7021f0c5",11.0,"114403035731270177020080","对用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的处罚",1.0,1.0
2017.0,"人社","075741dc-4464-4a00-b577-a2ba789fdf7a",6.0,"114403050075449597020099","用人单位克扣员工工资",2.0,1.0
